Date,Description,Debit,Credit,Balance
01-Dec-2024,SWIGGY ORDER,850.00,,45000.00
02-Dec-2024,SALARY CREDIT,,50000.00,95000.00
03-Dec-2024,UBER TRIP,250.00,,94750.00
04-Dec-2024,AMAZON SHOPPING,1200.00,,93550.00
05-Dec-2024,NETFLIX SUBSCRIPTION,199.00,,93351.00
06-Dec-2024,ATM WITHDRAWAL,5000.00,,88351.00
07-Dec-2024,ZOMATO ORDER,650.00,,87701.00
08-Dec-2024,ELECTRICITY BILL,1500.00,,86201.00
09-Dec-2024,FREELANCE PAYMENT,,15000.00,101201.00
10-Dec-2024,OLA CAB,180.00,,101021.00
11-Dec-2024,FLIPKART SHOPPING,2500.00,,98521.00
12-Dec-2024,SPOTIFY PREMIUM,119.00,,98402.00
13-Dec-2024,HOUSE RENT,15000.00,,83402.00

